id;company;market_sector_id;symbol;bdr;cnpj;main_activity;market_sector;website
153;CAMBUCI;1;CAMB4;BR;61.088.894/0001-08;Não Informado;Consumo Cíclico / Tecidos. Vestuário e Calçados / Calçados;www.cambuci.com.br/investidores
154;CAMIL;1;CAML3;BR;64.904.295/0001-03;Industrialização E Comercialização de Arroz. Feijão. Pescados E Açúcar.;Consumo não Cíclico / Alimentos Processados / Alimentos Diversos;www.camilalimentos.com.br
155;CANAD NATION;9;CNIC34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Não Classificados / Não Classificado / Não Classificados;Não Informado
156;CANAD PACIFI;9;CPRL34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Não Classificados / Não Classificado / Não Classificados;Não Informado
157;CAPITAL ONE;9;CAON34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Não Classificados / Não Classificado / Não Classificados;Não Informado
158;CAPITALPART;9;CPTP3B;BR;02.591.787/0001-39;Participação em Outras Sociedades.;Outros / Outros / Outros;http://capitalpartparticipacoes.mzweb.com.br
159;CAPRI HOLDI;9;CAPH34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Não Classificados / Não Classificado / Não Classificados;Não Informado
160;CARREFOUR BR;1;CRFB3;BR;75.315.333/0001-09;Comércio Varejista E Atacadista de Mercadorias em Geral. Carga E Descarga. Correspondentes de Instituições Financeiras. Atividades de Teleatendimento. Serviços de Alimentação Entre Outros;Consumo não Cíclico / Comércio e Distribuição / Alimentos;www.grupocarrefourbrasil.com.br
161;CARTERS INC;9;CRIN34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Não Classificados / Não Classificado / Não Classificados;www.carters.com
162;CASAN;3;CASN3;BR;82.508.433/0001-17;Atuar Como Instituição Integrante Do Sistema de Saneamento Básico E de Saúde Do Estado de Santa Catarina Através Dos Serviços de Captação. Tratamento E Distribuição de água E Tratamento de Esgoto.;Utilidade Pública / água e Saneamento / água e Saneamento;www.casan.com.br
163;CASAN;3;CASN4;BR;82.508.433/0001-17;Atuar Como Instituição Integrante Do Sistema de Saneamento Básico E de Saúde Do Estado de Santa Catarina Através Dos Serviços de Captação. Tratamento E Distribuição de água E Tratamento de Esgoto.;Utilidade Pública / água e Saneamento / água e Saneamento;www.casan.com.br
164;CATERPILLAR;7;CATP34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Bens Industriais / Máquinas e Equipamentos / Máq. e Equip. Construção e Agrícolas;www.caterpillar.com
165;CCR SA;19;CCRO3;BR;02.846.056/0001-97;Prestadora de Serviços Públicos Por Meio de Concessões Rodoviária. Metroviária E Aeroportuária. Além de Prestação de Serviços de Meio de Pagamentos E Outros.;Bens Industriais / Transporte / Exploração de Rodovias;www.ccr.com.br
166;CCX CARVAO;8;CCXC3;BR;07.950.674/0001-04;Desenvolvimento de Projetos de Carvão Na Colómbia. Incluindo. Mas Não Se Limitando A. Pesquisa. Exploração. Lavra. Beneficiamento. Industrialização. Transporte. Exportação E Comércio de Carvão.;Outros / Outros / Outros;www.ccx.com.co
167;CEB;3;CEBR3;BR;00.070.698/0001-11;Holding/geração E Distribuição de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.ceb.com.br
168;CEB;3;CEBR5;BR;00.070.698/0001-11;Holding/geração E Distribuição de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.ceb.com.br
169;CEB;3;CEBR6;BR;00.070.698/0001-11;Holding/geração E Distribuição de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.ceb.com.br
170;CEDRO;1;CEDO3;BR;17.245.234/0001-00;Indústria Têxtil;Consumo Cíclico / Tecidos. Vestuário e Calçados / Fios e Tecidos;www.cedro.com.br
171;CEDRO;1;CEDO4;BR;17.245.234/0001-00;Indústria Têxtil;Consumo Cíclico / Tecidos. Vestuário e Calçados / Fios e Tecidos;www.cedro.com.br
172;CEEE-D;3;CEED3;BR;08.467.115/0001-00;Prestação de Serviços de Natureza Pública Ou Privada. No Setor de Distribuição de Energia elétrica.;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.ceee.com.br
173;CEEE-D;3;CEED4;BR;08.467.115/0001-00;Prestação de Serviços de Natureza Pública Ou Privada. No Setor de Distribuição de Energia elétrica.;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.ceee.com.br
174;CEEE-GT;3;EEEL3;BR;92.715.812/0001-31;Geração E Transmissão de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.ceee.com.br
